0	roberta-base	3	3	datasets_1	formal	CON_VERB	0.0	0.0	0.0
0	roberta-base	3	3	datasets_1	formal	SIN_VERB	0.8	0.4878048780487805	0.6060606060606061

1	roberta-base	3	3	datasets_1	formal	CON_VERB	0.5	1.0	0.6666666666666666
1	roberta-base	3	3	datasets_1	formal	SIN_VERB	0.8095238095238095	0.8292682926829268	0.8192771084337348

2	roberta-base	3	3	datasets_1	formal	CON_VERB	0.9117647058823529	0.7560975609756098	0.8266666666666665
2	roberta-base	3	3	datasets_1	formal	SIN_VERB	0.72	0.8780487804878049	0.7912087912087912

3	roberta-base	3	3	datasets_1	formal	CON_VERB	0.6	0.9512195121951219	0.7358490566037735
3	roberta-base	3	3	datasets_1	formal	SIN_VERB	0.6875	0.8048780487804879	0.7415730337078651

4	roberta-base	3	3	datasets_1	formal	CON_VERB	0.95	0.4634146341463415	0.6229508196721312
4	roberta-base	3	3	datasets_1	formal	SIN_VERB	0.7954545454545454	0.8536585365853658	0.8235294117647058

5	roberta-base	3	3	datasets_1	formal	CON_VERB	0.8666666666666667	0.6341463414634146	0.7323943661971831
5	roberta-base	3	3	datasets_1	formal	SIN_VERB	0.6545454545454545	0.8780487804878049	0.7499999999999999

6	roberta-base	3	3	datasets_1	formal	CON_VERB	0.8235294117647058	0.6829268292682927	0.7466666666666667
6	roberta-base	3	3	datasets_1	formal	SIN_VERB	0.68	0.8292682926829268	0.7472527472527474

7	roberta-base	3	3	datasets_1	formal	CON_VERB	0.9117647058823529	0.7560975609756098	0.8266666666666665
7	roberta-base	3	3	datasets_1	formal	SIN_VERB	0.7777777777777778	0.8536585365853658	0.8139534883720929

8	roberta-base	3	3	datasets_1	formal	CON_VERB	0.8125	0.3170731707317073	0.45614035087719296
8	roberta-base	3	3	datasets_1	formal	SIN_VERB	0.609375	0.9512195121951219	0.7428571428571428

9	roberta-base	3	3	datasets_1	formal	CON_VERB	0.6923076923076923	0.8780487804878049	0.7741935483870966
9	roberta-base	3	3	datasets_1	formal	SIN_VERB	0.5882352941176471	0.975609756097561	0.7339449541284403

Media total: 	CON_VERB	0.7068533182503771	0.6439024390243903	0.6388194808404044
Media total: 	SIN_VERB	0.7122411881419235	0.8341463414634146	0.7569657283786126
